CustomerID,InvoiceNo,Number of products
12346.0,541431,1
12346.0,C541433,1
12347.0,537626,31
12347.0,542237,29
12347.0,549222,24
12347.0,556201,18
12347.0,562032,22
12347.0,573511,47
12347.0,581180,11
12348.0,539318,17
12348.0,541998,6
12348.0,548955,5
12348.0,568172,3
12349.0,577609,73
12350.0,543037,17
12352.0,544156,15
12352.0,545323,5
12352.0,545332,3
12352.0,546869,7
12352.0,547390,8
12352.0,567505,18
12352.0,568699,14
12352.0,574275,15
12352.0,C545329,2
12352.0,C545330,1
12352.0,C547388,7
12353.0,553900,4
12354.0,550911,58
12355.0,552449,13
12356.0,541430,36
12356.0,549435,21
12356.0,576895,2
12357.0,574740,131
12358.0,559707,12
12358.0,581232,7
12359.0,540946,16
12359.0,543370,80
12359.0,555477,47
12359.0,571034,102
12359.0,C549955,2
12359.0,C580165,4
12360.0,554132,45
12360.0,563749,30
12360.0,571705,54
12361.0,545017,10
12362.0,544203,27
12362.0,551346,29
12362.0,559295,19
12362.0,563037,30
12362.0,568651,40
12362.0,570667,15
12362.0,572887,33
12362.0,573173,27
12362.0,574329,16
12362.0,580979,30
12362.0,C544902,2
12362.0,C563752,3
12362.0,C579178,3
12363.0,549687,16
12363.0,563947,7
12364.0,563854,34
12364.0,567897,2
12364.0,573401,22
12364.0,580152,27
12365.0,544574,21
12365.0,544578,1
12365.0,C544577,1
12367.0,580716,11
12370.0,538826,82
12370.0,539330,8
12370.0,546236,48
12370.0,571905,28
12371.0,570521,62
12371.0,572770,1
12372.0,544157,20
12372.0,552731,19
12372.0,568872,13
12373.0,542887,14
12374.0,576345,33
12375.0,565333,11
12375.0,579281,6
12375.0,C581071,1
12377.0,539488,43
12377.0,542586,34
12378.0,562046,219
12379.0,557789,20
12379.0,567196,20
12379.0,C559193,1
12380.0,555739,36
12380.0,567928,28
12380.0,571187,23
12380.0,577180,17
12380.0,C572532,1
12381.0,563100,62
12381.0,570681,1
12381.0,570725,1
12381.0,574694,16
12381.0,580638,7
12381.0,C565050,4
12383.0,539840,37
12383.0,540971,31
12383.0,546434,15
12383.0,550284,11
12383.0,555928,5
12383.0,C541586,1
12384.0,562882,14
12384.0,575734,13
12384.0,C567540,3
12386.0,537676,8
12386.0,540280,2
12388.0,541271,19
12388.0,543357,6
12388.0,546135,10
12388.0,560033,35
12388.0,568145,22
12388.0,578459,8
12390.0,567530,32
12391.0,577228,93
12393.0,540700,19
12393.0,541149,3
12393.0,549313,17
12393.0,568708,25
12394.0,552188,21
12394.0,569997,6
12395.0,537026,12
12395.0,539447,19
12395.0,543733,14
12395.0,547517,10
12395.0,551985,11
12395.0,552884,13
12395.0,558623,10
12395.0,563852,7
12395.0,569496,17
12395.0,575151,15
12395.0,575154,13
12395.0,577551,15
12395.0,C540152,1
12395.0,C544419,1
12395.0,C578432,1
12397.0,561507,70
12397.0,574336,56
12398.0,572567,85
12399.0,547412,20
12399.0,552543,22
12399.0,556203,5
12399.0,563172,12
12401.0,543537,5
12402.0,541675,11
12403.0,572184,5
12403.0,C572187,1
12405.0,559928,54
12406.0,556127,49
12406.0,577126,56
12406.0,C562728,3
12407.0,547061,15
12407.0,550440,12
12407.0,559058,33
12407.0,561662,4
12407.0,572133,13
12408.0,547684,32
12408.0,547685,4
12408.0,557147,29
12408.0,565246,17
12408.0,574862,23
12408.0,C549253,5
12408.0,C549533,1
12408.0,C558471,1
12408.0,C574865,1
12409.0,556415,64
12409.0,567642,1
12409.0,567721,44
12409.0,C563224,1
12409.0,C567641,1
12409.0,C567643,1
12409.0,C567677,2
12410.0,543180,22
12410.0,543181,4
12410.0,C543773,2
12412.0,557889,28
12412.0,561102,17
12412.0,568223,16
12413.0,540365,24
12413.0,550338,4
