0,1
heart,heart
holder,holder
metal,metal
lantern,lantern
cream,cream
cupid,cupid
coat,coat
hanger,hanger
union,union
flag,flag
water,water
bottl,bottle
nest,nest
box,box
glass,glass
star,star
hand,hand
jack,jack
warmer,warmer
dot,dot
bird,bird
ornament,ornament
poppi,poppy
playhous,playhouse
bedroom,bedroom
kitchen,kitchen
feltcraft,feltcraft
princess,princess
charlott,charlotte
doll,doll
ivori,ivory
cosi,cosy
colour,colour
teaspoon,teaspoons
vintag,vintage
jigsaw,jigsaw
block,block
alphabet,alphabet
home,home
build,building
word,word
love,love
recip,recipe
england,england
jam,jam
jar,jar
rack,rack
pari,paris
fashion,fashion
bath,bath
alarm,alarm
clock,clock
bakelik,bakelike
pink,pink
green,green
panda,panda
bunni,bunny
sheet,sheet
tape,tape
globe,globe
head,head
tail,tail
game,game
set/2,set/2
retrospot,retrospot
tea,tea
towel,towel
round,round
snack,snack
woodland,woodland
spaceboy,spaceboy
lunch,lunch
i,i
london,london
circus,circus
bag,bag
design,design
toadstool,toadstool
night,night
light,light
seasid,seaside
puzzl,puzzles
mini,mini
parad,parade
paint,paint
postag,postage
paper,paper
chain,chain
christma,christmas
parasol,parasol
coffe,coffee
mug,mug
planet,planet
billboard,billboard
love/h,love/hate
wood,wood
drawer,drawer
cabinet,cabinet
finish,finish
s/3,s/3
pictur,picture
frame,frame
wooden,wooden
sympathi,sympathy
polkadot,polkadot
baroqu,baroque
charli,charlie
lola,lola
toy,toy
strawberri,strawberry
piec,piece
cutleri,cutlery
set,set
set/6,set/6
plate,plate
pack,pack
case,case
dinosaur,dinosaur
paisley,paisley
fairi,fairy
tomato,tomato
charlie+lola,charlie+lola
coaster,coaster
wastepap,wastepaper
bin,bin
flora,flora
doorsign,doorsign
storag,storage
suki,suki
make,making
pc,pc
tool,tool
airlin,airline
loung,lounge
sign,sign
spot,spot
knob,knob
photo,photo
clip,clip
line,line
felt,felt
egg,egg
chicken,chicken
bank,bank
shoulder,shoulder
cook,cook
gin,gin
+,+
breakfast,breakfast
cup,cup
saucer,saucer
flower,flower
time,time
rabbit,rabbit
zinc,zinc
winki,winkie
candl,candle
stick,stick
cherri,cherry
money,money
milk,milk
jug,jug
funki,funky
beaker,beaker
owl,owl
balloon,balloon
art,art
cloch,cloche
gumbal,gumball
monochrom,monochrome
doormat,doormat
fanci,fancy
sweet,sweet
discount,discount
snake,snake
ladder,ladder
chocol,chocolate
calcul,calculator
tidi,tidy
tabl,table
pot,pot
garden,garden
thermomet,thermometer
cake,cake
tin,tin
wicker,wicker
basket,basket
lid,lid
board,board
hang,hanging
medina,medina
chalkboard,chalkboard
lovebird,lovebird
birdcag,birdcage
plant,plant
card,card
enamel,enamel
fire,fire
bucket,bucket
bread,bread
ribbon,ribbon
wire,wire
chilli,chilli
garland,garland
butterfil,butterfiles
tale,tale
cottag,cottage
letter,letter
doorstop,doorstop
decor,decoration
magnet,magnet
fridg,fridge
homemad,homemade
enfant,enfants
caravan,caravan
hook,hook
reindeer,reindeer
cushion,cushion
cover,cover
duck,duck
gold,gold
umbrella,umbrella
black/blu,black/blue
diner,diner
wall,wall
measur,measure
spoon,spoon
keepsak,keepsake
disco,disco
ball,ball
popcorn,popcorn
set/20,set/20
napkin,napkins
rain,rain
hat,hat
delux,deluxe
kit,kit
cube,cube
mice,mice
soldier,soldier
skittl,skittles
skip,skipping
rope,rope
domino,dominoes
seventeen,seventeen
sideboard,sideboard
parti,party
cone,cone
carniv,carnival
candi,candy
picnic,picnic
lamp,lamp
font,font
birthday,birthday
scotti,scotty
dog,dog
bowl,bowl
cloth,cloth
travel,travel
grey,grey
trinket,trinket
orang,orange
quilt,quilt
tissu,tissue
babushka,babushka
string,string
doughnut,doughnut
silk,silk
purs,purse
skull,skull
hous,house
boudoir,boudoir
squar,square
cornic,cornice
s/6,s/6
sew,sew
crochet,crochet
red,reds
lavend,lavender
incens,incense
tv,tv
dinner,dinner
tray,tray
placemat,placemat
famili,family
rotat,rotator
batteri,battery
silver,silver
mirror,mirror
ladi,ladies
gentlemen,gentlemen
bathroom,bathroom
toilet,toilet
holiday,holiday
basil,basil
set/10,set/10
t-light,t-light
snowmen,snowmen
santa,santa
spong,sponge
appl,apple
pirat,pirate
treasur,treasure
chest,chest
snowflak,snowflake
oval,oval
cigar,cigar
match,matches
hour,hour
giant,giant
tube,tube
jazz,jazz
notebook,notebook
candlehold,candleholder
candlestick,candlestick
baroquecandlestick,baroquecandlestick
flannel,flannel
style,style
footbal,football
celebr,celebration
girl,girl
blue,blue
invit,invites
butterfli,butterfly
cooki,cookie
cutter,cutter
sweetheart,sweetheart
car,car
trelli,trellis
set/5,set/5
slate,slate
bake,bake
pencil,pencil
harmonica,harmonica
transfer,transfer
tattoo,tattoos
panneton,pannetone
kid,kids
pen,pen
rectangl,rectangle
face,face
wrap,wrap
cowboy,cowboy
doili,doilies
plaster,plasters
cat,cat
eras,eraser
angel,angel
hldr,hldr
reel,reel
spin,spinning
top,top
marbl,marbles
strand,strand
necklac,necklac
crystal,crystal
squarecushion,squarecushion
children,children
candelabra,candelabra
luggag,luggage
tag,tag
tassl,tassle
charm,charm
acryl,acrylic
bangl,bangle
gun,guns
rose,roses
vanilla,vanilla
scent,scent
bell,bell
stand,stand
filigre,filigree
pattern,pattern
sticker,sticker
b'fli,b'fly
c/cover,c/cover
w,w
bobbl,bobbles
boom,boom
speaker,speaker
dress,dress
shopper,shopper
fruit,fruit
parcel,parcel
slipper,slipper
shoe,shoe
daisi,daisy
peg,peg
craft,craft
tree,tree
friend,friends
rosi,rosie
olivia,olivia
rex,rex
cash+carri,cash+carry
tote,tote
pinkwhit,pinkwhite
red/whit,red/white
valentin,valentine
decoupag,decoupage
sock,sock
baubl,bauble
villag,village
turquois,turquoise
wreath,wreath
advent,advent
calendar,calendar
gingham,gingham
sack,sack
snap,snap
drawerknob,drawerknob
apron,apron
mushroom,mushroom
chalk,chalk
hairband,hairband
purpl,purple
anim,animal
fair,fair
cupcak,cupcake
lace,lace
catch,catch
cotton,cotton
beach,beach
spade,spade
boy,boy
king,king
choic,choice
caddi,caddy
biscuit,biscuit
empir,empire
fawn,fawn
gift,gift
namast,namaste
swagat,swagat
vase,vase
chrysanthemum,chrysanthemum
scissor,scissor
tealight,tealight
place,place
s/15,s/15
wc,wc
soap,soap
medium,medium
washroom,washroom
bracelet,bracelet
hair,hair
grip,grip
pack/2,pack/2
dia,dia
diamant,diamante
ring,ring
rubi,ruby
montana,montana
present,present
aid,aid
monsoon,monsoon
rubber,rubber
stationeri,stationery
mitten,mittens
scandinavian,scandinavian
canva,canvas
stamp,stamp
cinammon,cinammon
stripe,stripe
provenc,provence
flock,flock
offic,office
record,record
size,size
hors,horse
regenc,regency
cakestand,cakestand
tier,tier
longboard,longboard
play,playing
shirt,shirt
repair,repair
foxi,foxy
gent,gents
jet,jet
'n,'n
grow,grow
world,world
champion,champion
seed,seed
envelop,envelope
hi,hi
polyest,polyester
filler,filler
pad,pad
scarf,scarf
pear,pears
gazebo,gazebo
birdhous,birdhouse
antiqu,antique
market,market
crate,crate
bed,bed
pizza,pizza
leav,leaves
button,button
messag,message
herb,herb
marker,marker
mint,mint
rosemari,rosemary
chive,chives
parsley,parsley
thyme,thyme
merri,merry
foil,foil
handbag,handbag
easter,easter
cut,cut
season,season
toast,toast
path,path
journal,journal
squeezer,squeezer
glove,glove
licoric,licorice
des,des
roll,roll
multicolour,multicolour
confetti,confetti
morri,morris
pistachio,pistachio
honeycomb,honeycomb
english,english
level,level
platter,platter
teacup,teacup
slice,slice
fun,fun
ass,ass
col,col
sand,sand
gecko,gecko
p'weight,p'weight
postcard,postcard
spring,spring
chateau,chateau
scale,scales
lizard,lizard
suction,suction
engine/car,engine/car
patch,patch
psychedel,psychedelic
flowerpow,flowerpower
life,life
rounder,rounders
child,childs
taper,taper
confectioneri,confectionery
stopper,stopper
set/4,set/4
junk,junk
mail,mail
tile,tile
finger,finger
beurr,beurre
dish,dish
diet,diet
screen,screen
print,print
peac,peace
earth,earth
cocktail,cocktail
strongman,strongman
school,school
crayon,crayons
booz,booze
women,women
lad,lads
man,man
heat,heat
person,person
shape,shape
pan,pan
bendi,bendy
straw,straws
pantri,pantry
sketchbook,sketchbook
sing,singing
emerg,emergency
friez,frieze
door,door
joy,joy
black+silv,black+silver
regal,regal
candlepot,candlepot
swirlglass,swirlglass
pedest,pedestal
magazin,magazine
food,food
raffia,raffia
polka,polka
jardin,jardin
bunt,bunting
kashmir,kashmir
chocolatecandl,chocolatecandle
shelf,shelf
imag,image
day,day
jewelleri,jewellery
let,lets
camouflag,camouflage
torch,torch
dragonfli,dragonfly
helicopt,helicopter
shark,shark
doctor,doctor
carriag,carriage
star+,star+
moon,moon
fring,fringe
hammock,hammock
dec,dec
crossbon,crossbones
fabric,fabric
poni,pony
cordon,cordon
barrier,barrier
teddi,teddy
air,air
hostess,hostess
stack,stack
hut,hut
blossom,blossom
passport,passport
retro,retro
mod,mod
cardhold,cardholder
book,book
spiral,spiral
coal,coal
airmail,airmail
number,number
smiley,smiley
collag,collage
childhood,childhood
memori,memory
funk,funk
monkey,monkey
choc+blu,choc+blue
glitter,glitter
b,b
c,c
chees,cheese
geisha,geisha
newspap,newspaper
scandispot,scandispot
jingl,jingle
key,key
instrument,instrument
crown,crowns
chalet,chalet
motorbik,motorbike
medicin,medicine
ma,ma
campagn,campagne
yuletid,yuletide
shade,shade
base,base
folkart,folkart
smallfolkart,smallfolkart
glass+zinc,glass+zinc
set/3,set/3
eucalyptus,eucalyptus
pinecon,pinecone
s/4,s/4
cacti,cacti
marshmallow,marshmallow
mum,mum
indian,indians
fuschia,fuschia
brocad,brocade
swallow,swallows
m,m
v,v
s,s
j,j
bingo,bingo
floor,floor
fauna,fauna
ear,ear
muff,muff
headphon,headphones
tutti,tutti
frutti,frutti
brush,brush
ladybird,ladybird
bee,bee
bamboo,bamboo
rib,ribs
lampshad,lampshade
badg,badges
creatur,creatures
pocket,pocket
porcelain,porcelain
brocant,brocante
maria,maria
memo,memo
room,room
sall,salle
bain,bain
robot,robot
war,war
glider,gliders
coathang,coathanger
bomb,bomb
pump,pump
stencil,stencil
cute,cute
toothpast,toothpaste
purdey,purdey
account,account
penni,penny
pig,pig
loveheart,loveheart
en,en
pin,pin
area,area
portrait,portrait
plastic,plastic
eleph,elephant
rainbow,rainbow
model,modelling
clay,clay
disc,disc
sugar,sugar
teapot,teapot
dairi,dairy
maid,maid
pud,pudding
contain,container
moodi,moody
hen,hen
wish,wishes
thank,thank
planter,planter
stripey,stripey
dragon,dragon
ruler,ruler
digitali,digitalis
post,post
milkshak,milkshake
babi,baby
chart,chart
figur,figures
shine,shine
armi,army
camo,camo
bookcov,bookcover
carrot,carrot
chick,chick
chunki,chunky
tassel,tassel
glass+bead,glass+bead
livingroom,livingroom
posi,posy
vine,vine
food/drink,food/drink
lilac,lilac
juici,juicy
creepi,creepy
crawli,crawlie
memoboard,memoboard
wash,wash
cafe,cafe
bow,bow
brooch,brooch
amethyst,amethyst
pair,pair
hairclip,hairclip
gemston,gemstone
drop,drop
earring,earrings
hoop,hoop
leaf,leaf
clam,clam
shell,shell
cockl,cockle
fob,fob
garag,garage
chopstick,chopsticks
frog,frog
puppet,puppet
wine,wine
candlestand,candlestand
gaoler,gaolers
champagn,champagne
curio,curio
fan,fan
charg,charge
butter,butter
farm,farm
snowstorm,snowstorm
tinsel,tinsel
space,space
cadet,cadet
monster,monster
citronella,citronella
folk,folk
burst,burst
fanni,fanny
rest,rest
stopmet,stopmetal
way,way
corona,corona
weekend,weekend
coland,colander
blue/cream,blue/cream
strawberi,strawbery
shop,shop
washbag,washbag
feng,feng
shui,shui
pillar,pillar
novelti,novelty
toastrack,toastrack
rustic,rustic
bead,bead
croquet,croquet
choc,choc
truffl,truffle
cabin,cabin
knit,knitting
nanci,nancy
throw,throw
lush,lush
necklace+bracelet,necklace+bracelet
salad,salad
check,check
ludo,ludo
la,la
palmiera,palmiera
display,display
pack/12,pack/12
secateur,secateurs
lei,leis
camphor,camphor
field,field
portobello,portobello
"fairy,5","fairy,5"
summer,summer
b'draw,b'draw
liner,liners
blue/yellow,blue/yellow
green/blu,green/blue
yellow/pink,yellow/pink
a5,a5
neighbourhood,neighbourhood
witch,witch
pharmaci,pharmacie
salt,salt
pepper,pepper
naughti,naughty
sound,sound
hello,hello
sailor,sailor
bewar,beware
cinnamon,cinnamon
jasmin,jasmine
bone,bone
circl,circle
midnight,midnight
glamour,glamour
